Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y,Query Descriptor,Train Descriptor,Query Image ID,Train Image ID
1291,362,41.0,387,451,417,340,1100110010100010110000111111101111101000000011011101001000000111011000111010110011111111101001001010101010001011111101110000001011111011101000001100010101010101100101000110000101110011010111110011111100001000100101100101011000101110011001100101111111110110,1100100010100011010001111111101111111000010011011100001001000111011000111010110011110110101001000010101011001011000100000000001011111010100011001100010101010101101011010110000101000001000010110001111100001000100111100101001100100110010001100101101111100111,aruco_000,aruco_005
1253,296,42.0,388,454,418,340,1000000000111000110001011010101110001010010110110110011010011100110011001011010111011010100001011001110000110011110100100101111001101101000101110110110100010100110011001111001111111011100111111001000111001111011100001110110000101000110101001000110011111010,1000000000111000110011011010001110000010010110011110011110011100110111001011110111011010100001011001110010110001000101100101111001111101110100111110110100111101110011001011001000111000101111110101001111001111010100001111101010111000111111001011110011101010,aruco_000,aruco_005
1209,261,43.0,214,333,295,333,0101001001010100000001110111101011001101010001100011110011010001000000010010011010001111111111111000111001011010001001111101011000101110111001001110011100101000000101110001101010010001000001111100110000010100110001000010111111001101001110001101111111011010,1100001011010000000001110010000011011111011001100011110011010001001000000111011010000110111111111000111001011011011101111101011001101110111001001110011000101000110100110110101001110001000101001100110000010000110001001010111101011100001110000101100110011010,aruco_000,aruco_005
1084,4,44.0,276,264,308,279,0100111011001001100010011111101110011110000100110000110111100001101010000111010101000001110111000101011001000110010110001000011101111111101000011101111101110000001000100101101001110100001100011001001001011110000101010001101101001110111010001010111010000000,0000011011001001001110001111101110001111000000110001110011101101001110000111110101000101110010000101111000000110010110001000011111111111001101001001111101111000001000100011101000010100001100011001000001001110100111010100101101001110110001001011111000100000,aruco_000,aruco_005
1148,205,45.0,529,504,508,326,1111001001010010000111100100101100100100001101000001000111011011100101110110000001110001111111010111101110111011111100011101011001010000100101000101001001100010110001001010011001011000110101000101000001110010110100101000110101101000011111101100111011100011,1111001101110110000011100110001100000110001000010000010111011011101001101110001000110011111110010111101110110001011000011101011011010000101100001001001000100000110001000010001001011000100001100101010001110010110100111010110101101000010101101110101011110011,aruco_000,aruco_005
979,115,46.0,372,372,243,227,0100111011100111111001000111101011101010011001110011000000000001001100010000000010011010101011101000111001010010111101011000011001101100001111001100010101010100100110010100111011100010100111111101111000000000001001100100000011000101011010000001001111101110,1100011011110101010000010111101011101000001001110011010010000010101100010000000011000111101011101000111001010010011101111000001001101100011111001100010111000100100110110110101011100100100111011110111000000110111001100100110011000101001011001001101111101011,aruco_000,aruco_005
1218,258,47.0,164,147,216,253,1101000010111001001001001000100111011010101010001101000000001000101100101001011000010001101010001010010000011111111111110001111100100110110001100001001001000100101100110111110001101111100110001010011001011000111000101001100111111001100001000101010100010001,1101001001111001001001011010010001010010100010000101011010000001101000100101011000010001101010001100010100011111111111111011110110100011110001110001001001000100001110110101110000111111000010000011011101011000111000001011100111101001100001000101110101010111,aruco_000,aruco_005
1059,92,49.0,416,416,419,316,0011000000010011111000111011000101110011111100000000010010111001100110001000101101100100001010011000000100111101110010101101110110000101100101111011110011101000000010111011000011011110011001100001001001101110001110101011011110111001010010011100100101010111,0011000000111011011000110111001010100101001100010000010010110001000100001001001101100100001001010010000100110100010010101101110110000100101101111001110011101010000010111001000010111100011001000101000001100110011110001011010110101001011010011110110001010001,aruco_000,aruco_005
1119,164,49.0,334,504,397,228,0011000011101001001110000011010101111100101000001110100010111010001101110100001011001011011010010001101111001011001010110010100000010011100001110110100111100100000101110101001010001100111001100011001000010010010000110000100011100110010011111110100110010011,0011000011100001001111001111110001111100101000001000100011011010001111110001001100110011111010010001100110101111001010010001100000010011100101110110000011110101001101110111011010001100010001100011011100010010010100111000100111100010110011001100101110000011,aruco_000,aruco_005
1118,165,50.0,504,529,502,348,0000000000100010100000001110001000101110011100011111000101011110100011111011001101110111110000111001100010010111001111010111000111100000111111011001100100011101101100001010100000000101111101000001110000110010010000000111100101101110010000001101110010010011,0011100000100110001110101100000000000101001100001111000101011110100011101001001101110111110000110001000010010101111111110111000110100000110111011001100100001000111000101000000010011101110001000001110000111010010000001111110101111110111000001101010011000111,aruco_000,aruco_005
