Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
1237,1753,62.0,1011,605,684,630
1249,1132,62.0,760,423,612,701
1473,2030,62.0,695,809,1157,813
1566,355,62.0,203,746,630,935
1712,420,62.0,809,408,391,641
1839,127,62.0,684,878,663,549
1862,989,62.0,830,263,468,1446
1964,1104,62.0,763,466,402,1260
2044,1067,62.0,885,380,1107,1476
106,1478,63.0,448,394,890,560
456,756,63.0,897,607,688,634
637,852,63.0,600,245,580,559
976,9,63.0,814,575,990,953
1118,2022,63.0,668,899,1340,1351
1278,1015,63.0,627,924,580,562
1349,1907,63.0,712,729,1377,1221
1591,1493,63.0,811,408,751,914
1668,508,63.0,1013,595,1291,1481
1693,811,63.0,784,485,1212,574
1727,551,63.0,657,819,402,617
1762,474,63.0,1025,714,1291,1492
1936,647,63.0,212,499,1372,1390
110,1167,64.0,683,823,1320,1375
221,631,64.0,888,412,412,634
306,1020,64.0,531,858,1068,1423
427,752,64.0,581,486,708,756
812,1073,64.0,336,888,723,1446
986,1349,64.0,769,433,432,620
1149,1718,64.0,658,823,729,622
1161,1337,64.0,791,584,1381,1223
1166,1076,64.0,679,247,922,554
1190,1357,64.0,684,662,1211,448
1554,1384,64.0,850,661,1211,358
1579,819,64.0,910,763,1198,1382
1767,691,64.0,236,664,383,991
1816,1976,64.0,609,227,1376,1222
1880,462,64.0,367,591,1373,1381
1897,439,64.0,609,654,440,1440
1996,1685,64.0,695,853,445,672
2004,1663,64.0,982,283,386,913
2018,818,64.0,677,874,476,556
2020,1125,64.0,376,627,1552,1236
43,1435,65.0,239,473,446,649
102,415,65.0,676,595,1345,1483
296,1025,65.0,522,859,1053,1423
379,862,65.0,608,848,1354,1490
395,1679,65.0,606,670,891,560
399,838,65.0,766,241,400,1385
408,112,65.0,858,639,724,549
714,1538,65.0,522,859,1051,1425
908,266,65.0,868,766,954,1489
1008,1746,65.0,521,860,1053,1423
1176,704,65.0,987,550,1463,230
1307,1055,65.0,767,434,482,1371
1415,19,65.0,941,734,1345,1345
1512,1877,65.0,479,498,385,669
1888,584,65.0,311,532,629,626
2001,1077,65.0,921,717,647,615
